Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,50.25,50.25,48.0,48.4375,13705800,15.289114000000001
2000-01-04,47.75,47.9375,44.9375,45.5625,27293400,14.381631
2000-01-05,45.0625,46.4375,44.5,46.0625,22855600,14.539454999999998
2000-01-06,46.9375,50.0,46.75,50.0,17307000,15.782312
2000-01-07,49.625,49.625,48.0,48.6875,11632800,15.368026
2000-01-10,48.9375,48.9375,46.6875,47.0,11152800,14.835373
2000-01-11,45.5625,46.9375,45.5625,46.0,11064400,14.519727
2000-01-12,46.0,47.0625,46.0,46.5,11067600,14.67755
2000-01-13,47.0,47.875,46.875,47.5625,12322000,15.012924
2000-01-14,49.9375,50.5625,48.8125,50.5,20438600,15.940135
2000-01-18,50.0,50.0,47.8125,48.0,17116000,15.151019
2000-01-19,47.875,49.1875,46.6875,48.0,15468400,15.151019
2000-01-20,47.5,48.0,46.0,47.078098,12249000,14.860024
2000-01-21,46.5,46.6875,45.5625,45.6875,12839400,14.421087
2000-01-24,45.75,46.25,44.5,44.5625,12614800,14.065985000000001
2000-01-25,44.9375,45.6875,44.6875,45.125,15631000,14.243535999999999
2000-01-26,45.75,47.3125,45.375,47.125,15441200,14.874829
2000-01-27,47.5625,48.375,47.0625,48.125,12769400,15.190475
2000-01-28,47.875,47.875,45.75,45.75,13517000,14.440814999999999
2000-01-31,46.5,48.4375,46.3125,48.4375,16910000,15.289114000000001
2000-02-01,48.125,49.0,48.0,49.0,8965200,15.466664999999999
2000-02-02,47.5,48.5,47.375,47.75,11717400,15.072107999999998
2000-02-03,47.6875,48.0625,45.4375,46.4375,22798000,14.657822
2000-02-04,46.9375,47.125,45.3125,45.875,13400000,14.480270999999998
2000-02-07,45.3125,45.5,44.875,45.3125,10364400,14.30272
2000-02-08,45.8125,47.25,45.6875,47.125,10821800,14.874829
2000-02-09,47.125,47.25,46.0625,46.0625,9294200,14.539454999999998
2000-02-10,46.0625,46.5,44.6875,44.875,11579400,14.164625
2000-02-11,45.0,46.625,45.0,45.1875,13510400,14.263264000000001
2000-02-14,45.6875,45.9375,44.0625,44.25,13426800,13.967346
2000-02-15,44.0625,46.0,44.0625,45.625,13834000,14.401359
2000-02-16,46.25,46.5,45.125,45.1875,11939600,14.263264000000001
2000-02-17,45.4375,46.3125,44.3125,44.625,12256800,14.085713
2000-02-18,44.5625,44.6875,43.375,43.75,14998000,13.809523
2000-02-22,43.1875,45.875,43.0,44.75,13162800,14.125169
2000-02-23,45.0,46.625,44.4375,45.75,13732000,14.440814999999999
2000-02-24,45.875,46.25,43.875,44.8125,11467800,14.144897
2000-02-25,44.75,45.8125,44.125,44.125,10603800,13.92789
2000-02-28,44.75,46.9375,44.5625,45.9375,13760000,14.499998999999999
2000-02-29,45.9375,46.4375,45.0625,46.0,11792800,14.519727
2000-03-01,46.0,46.1875,44.8125,45.5625,9796600,14.539670999999998
2000-03-02,45.5625,45.5625,44.625,45.0625,10613000,14.380114
2000-03-03,45.75,46.125,44.625,45.0,12825800,14.360169
