Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,52.5625,52.75,49.5,50.46875,710100,37.034188
2000-01-04,49.625,49.625,46.75,47.1875,1276900,34.626393
2000-01-05,47.5,49.1875,46.8125,48.25,929200,35.40606
2000-01-06,48.1875,49.625,47.8125,49.25,515900,36.139864
2000-01-07,49.140621,49.875,48.5,49.875,612500,36.598492
2000-01-10,49.9375,50.0,48.1875,48.625,528000,35.681236
2000-01-11,48.375,48.4375,46.875,47.75,873100,35.039157
2000-01-12,47.75,50.1875,47.625,49.9375,787200,36.644354
2000-01-13,52.0,55.125,51.125,54.8125,2193600,40.221651
2000-01-14,55.5,55.5,53.875,54.875,995100,40.267513
2000-01-18,54.4375,55.625,52.75,55.5625,1015400,40.772003999999995
2000-01-19,55.6875,59.9375,55.625,57.1875,2081500,41.964436
2000-01-20,57.1875,57.25,53.75,53.9375,467800,39.579572
2000-01-21,55.0,56.625,53.5625,55.0625,903600,40.405102
2000-01-24,55.0,55.375,53.125,53.4375,481800,39.21267
2000-01-25,53.9375,55.3125,53.125,54.75,537700,40.175788
2000-01-26,54.875,57.25,54.75,57.0,979800,41.826848
2000-01-27,57.0625,57.8125,54.875,55.625,1014600,40.817867
2000-01-28,55.375,55.375,53.1875,54.0,788500,39.625434999999996
2000-01-31,53.875,60.5625,53.375,60.375,2127600,44.303437
2000-02-01,59.75,62.0,58.125,60.625,2151200,44.486888
2000-02-02,61.25,62.375,58.125,58.90625,1931300,43.225662
2000-02-03,59.8125,60.0,57.0625,57.0625,1848800,41.87271
2000-02-04,57.59375,59.125,57.25,58.1875,953700,42.698240000000006
2000-02-07,58.0,59.3125,57.1875,59.25,447200,43.477907
2000-02-08,59.4375,60.625,58.875,59.40625,770300,43.592564
2000-02-09,59.375,59.75,57.125,57.25,590100,42.010298999999996
2000-02-10,57.25,58.125,57.0625,57.3125,1246300,42.056162
2000-02-11,57.125,58.875,55.6875,55.84375,1047200,40.978386
2000-02-14,56.25,56.75,54.0625,55.125,660800,40.450965000000004
2000-02-15,55.0625,59.5,54.875,58.625,956400,43.01928
2000-02-16,58.375,58.875,56.375,57.5,902100,42.19375
2000-02-17,58.0,59.125,56.375,58.875,1179900,43.202731
2000-02-18,58.75,59.25,57.75,58.5625,2051200,42.973417
2000-02-22,58.375,58.5,55.4375,56.875,956700,41.735122
2000-02-23,56.625,57.875,55.5625,57.5625,1294600,42.239613
2000-02-24,57.375,57.375,55.375,56.4375,924600,41.414083000000005
2000-02-25,56.5,56.5625,55.5,55.6875,1051800,40.863729
2000-02-28,55.75,57.75,55.625,57.75,449200,42.377201
2000-02-29,57.6875,57.75,54.625,56.5,1126100,41.459945000000005
2000-03-01,56.75,56.75,55.625,56.375,884300,41.36822
2000-03-02,56.375,57.1875,55.8125,56.4375,584000,41.414083000000005
2000-03-03,57.0,58.0,56.25,57.0,639600,41.826848
2000-03-06,57.0,58.5,56.4375,56.5,896300,41.459945000000005
2000-03-07,56.75,57.125,56.125,56.1875,840700,41.230632
2000-03-08,56.125,56.125,53.0625,53.875,2636800,39.628924
2000-03-09,53.75,54.0,52.4375,52.9375,1656700,38.939326
2000-03-10,53.1875,53.1875,52.1875,52.3125,962700,38.479594
2000-03-13,51.75,55.8125,51.0,54.5625,712700,40.13463
2000-03-14,54.875,57.5,53.875,54.1875,862000,39.858791
2000-03-15,55.0,57.3125,53.875,56.6875,1640500,41.697720000000004
2000-03-16,57.8125,67.75,57.3125,66.625,5989700,49.007463
2000-03-17,64.0,65.0,61.625,63.3125,3449900,46.570882
2000-03-20,63.125,63.125,59.4375,60.0625,1656000,44.180274
2000-03-21,60.1875,67.8125,59.5,67.34375,1861100,49.536155
2000-03-22,67.625,77.25,64.5,73.3125,1821900,53.926598999999996
2000-03-23,73.1875,73.25,70.5625,72.0625,2352900,53.00713399999999
2000-03-24,72.1875,72.375,64.0,67.125,2839700,49.375249
2000-03-27,67.0625,67.0625,61.6875,62.6875,1912800,46.11115
2000-03-28,62.859379000000004,67.8125,62.8125,65.875,2056000,48.455785
2000-03-29,65.875,66.5,63.625,65.3125,821600,48.042026
2000-03-30,64.875,67.4375,63.4375,64.5,1057600,47.444373999999996
2000-03-31,65.875,68.625,64.5,67.5625,1264100,49.697062
2000-04-03,67.625,72.5,67.5625,70.375,2609900,51.765857000000004
2000-04-04,70.5,72.125,63.875,68.09375,1343300,50.087834
2000-04-05,67.75,69.875,65.25,66.4375,741200,48.869544
2000-04-06,66.875,69.875,65.5,68.875,849700,50.6625
2000-04-07,69.5,69.6875,66.375,66.9375,566400,49.237328999999995
2000-04-10,66.9375,68.3125,64.5,67.0625,784000,49.329276
2000-04-11,67.3125,70.1875,67.25,68.59375,609900,50.45562
2000-04-12,68.625,70.8125,66.4375,66.8125,1260900,49.145383
2000-04-13,66.90625,66.9375,63.0,63.3125,967100,46.570882
2000-04-14,63.0625,63.234379000000004,57.375,57.8125,1656000,42.525238
2000-04-17,57.875,62.125,57.75,58.8125,1702700,43.26081
2000-04-18,59.625,70.125,59.5,70.0,1609200,51.490018
2000-04-19,68.3125,68.875,63.1875,65.0625,833300,47.858133
2000-04-20,64.8125,65.5,64.5,65.5,960700,48.179945000000004
2000-04-24,64.8125,65.75,63.5,64.6875,831100,47.582293
2000-04-25,66.1875,66.25,65.125,65.6875,1407400,48.317865000000005
2000-04-26,66.125,66.875,65.5,66.25,1182200,48.731624
2000-04-27,65.65625,65.9375,63.375,64.625,721200,47.53632
2000-04-28,65.25,65.875,63.375,64.125,705500,47.168534
2000-05-01,64.15625,66.875,63.125,65.4375,766300,48.133972
2000-05-02,65.5,65.5625,63.3125,64.75,755000,47.628265999999996
2000-05-03,64.6875,66.0,63.875,64.5625,571600,47.490347
2000-05-04,64.6875,66.5,63.5,63.625,899700,46.800748
2000-05-05,63.6875,63.75,62.3125,63.1875,517800,46.478936
2000-05-08,63.125,68.375,63.0,66.125,709500,48.639678
2000-05-09,66.0625,68.3125,65.25,66.5625,558800,48.961490000000005
2000-05-10,66.25,66.3125,64.8125,65.6875,971000,48.317865000000005
2000-05-11,66.25,68.0,66.25,67.125,743800,49.375249
2000-05-12,67.25,70.0625,66.375,69.3125,933700,50.984312
2000-05-15,68.4375,72.1875,68.375,71.875,1230000,52.869215000000004
2000-05-16,72.625,73.3125,69.375,69.875,1167000,51.398071
2000-05-17,69.5625,69.8125,68.5625,69.5625,264100,51.168205
2000-05-18,69.40625,71.25,69.1875,69.1875,463500,50.892365999999996
2000-05-19,68.125,68.5,65.125,66.0625,768800,48.593703999999995
2000-05-22,66.4375,67.625,65.375,67.625,602800,49.743035
2000-05-23,67.0,69.375,67.0,69.0,493700,50.754446
2000-05-24,68.0,70.125,67.5,69.8125,1123300,51.352098
2000-05-25,69.375,69.5,62.75,64.125,1181300,47.168534
2000-05-26,64.625,67.125,64.375,65.9375,878400,48.501758
2000-05-30,66.25,66.75,63.75,64.5625,795500,47.490347
2000-05-31,64.1875,66.5625,63.75,65.8125,591100,48.409811
2000-06-01,66.3125,68.75,65.9375,67.8125,998800,49.880955
2000-06-02,68.625,71.4375,68.625,70.0625,1052600,51.535990999999996
2000-06-05,69.65625,70.375,68.3125,69.9375,1321600,51.444045
2000-06-06,69.125,69.3125,68.125,69.125,709000,50.846393
