Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,51.375,52.375,50.875,52.1875,987600,21.071994
2000-01-04,51.625,55.125,51.625,54.1875,1704600,21.879544
2000-01-05,54.25,54.5625,53.25,54.1875,1033800,21.879544
2000-01-06,54.375,55.875,54.25,55.625,925800,22.459970000000002
2000-01-07,56.5,57.75,56.25,57.625,1197400,23.267519
2000-01-10,58.25,59.75,57.843761,59.3125,1759400,23.948889
2000-01-11,59.125,59.25,58.4375,58.5625,940400,23.646058
2000-01-12,58.75,60.375,58.375,59.75,1231400,24.125541000000002
2000-01-13,59.8125,61.875,59.6875,60.75,3895600,24.529315
2000-01-14,61.0,61.125,58.9375,60.1875,2019000,24.302192
2000-01-18,60.1875,60.1875,58.25,59.1875,783600,23.898417000000002
2000-01-19,58.5,58.75,56.875,57.625,979600,23.267519
2000-01-20,57.375,57.5,54.5,55.4375,1358600,22.384262
2000-01-21,56.5,56.75,54.8125,54.9375,918400,22.182375
2000-01-24,55.0,55.5,53.5,54.0,1201000,21.803835999999997
2000-01-25,54.0,54.75,53.0,53.3125,469000,21.526241
2000-01-26,55.0,57.0,54.75,56.0625,1418800,22.636620999999998
2000-01-27,55.875,57.9375,55.875,57.25,915600,23.116104
2000-01-28,57.25,58.75,55.875,57.3125,939200,23.14134
2000-01-31,57.0625,57.0625,54.25,56.125,923000,22.661857
2000-02-01,55.875,56.125,54.75,55.125,544200,22.258082
2000-02-02,55.375,56.0,54.0,54.375,604200,21.955251
2000-02-03,54.625,55.125,53.0,53.4375,810800,21.576713
2000-02-04,53.6875,53.9375,52.0,52.5,860000,21.198173999999998
2000-02-07,52.25,52.25,50.5,51.0,770400,20.592512
2000-02-08,49.5,51.75,49.5,51.125,1447800,20.642982999999997
2000-02-09,52.125,53.0,51.625,51.8125,1011200,20.920579
2000-02-10,52.0625,53.375,51.125,51.8125,1902400,20.920579
2000-02-11,52.0,52.0,50.5,50.6875,784400,20.466332
2000-02-14,50.375,50.875,49.9375,50.0,401400,20.188737
2000-02-15,50.625,51.125,49.9375,50.75,611000,20.491568
2000-02-16,50.5,50.875,48.9375,49.0,824800,19.784962
2000-02-17,48.75,50.25,48.5,49.1875,1256800,19.860670000000002
2000-02-18,48.9375,49.0,46.5,47.75,914200,19.280244
2000-02-22,48.25,49.6875,48.0,49.4375,529200,19.961614
2000-02-23,49.4375,50.25,49.4375,49.9375,543400,20.163501
2000-02-24,49.9375,49.9375,48.4375,48.625,1013200,19.633547
2000-02-25,48.5625,49.625,48.25,48.25,485800,19.482131
2000-02-28,47.75,47.875,47.1875,47.3125,606800,19.103592000000003
2000-02-29,47.3125,50.3125,47.3125,49.6875,1237000,20.062557
2000-03-01,50.5,51.8125,50.25,51.4375,1147400,20.769163
2000-03-02,51.4375,52.125,50.875,51.0,1119600,20.592512
2000-03-03,50.9375,52.125,50.625,51.125,976800,20.642982999999997
2000-03-06,51.125,51.125,49.1875,49.625,692000,20.037321
2000-03-07,50.0,50.125,47.6875,48.0625,3306400,19.406423
2000-03-08,47.375,47.5,44.25,44.375,4690800,17.917504
2000-03-09,45.0,45.625,44.375,44.9375,1624600,18.144627
2000-03-10,44.875,46.0,44.625,44.75,1019000,18.068920000000002
2000-03-13,43.75,45.625,43.375,45.125,1283600,18.220335000000002
2000-03-14,45.1875,46.4375,43.9375,44.375,1840800,17.917504
2000-03-15,44.5,46.4375,43.4375,45.4375,2136600,18.346515
2000-03-16,46.5,50.0,46.25,49.0625,1833400,19.810198
2000-03-17,49.125,49.5,47.875,48.0,883600,19.381187
2000-03-20,48.5625,50.0,48.5,48.625,850000,19.633547
2000-03-21,48.625,50.25,48.375,50.125,1335600,20.239209
2000-03-22,50.0625,50.1875,48.75,48.875,2615200,19.73449
2000-03-23,48.75,52.625,48.75,51.5625,3031800,20.819635
2000-03-24,51.5625,52.5,51.0,52.0,818400,20.996285999999998
2000-03-27,52.0,52.1875,49.375,49.8125,896600,20.113029
2000-03-28,50.0625,51.125,49.5,49.9375,683400,20.163501
2000-03-29,49.9375,50.6875,48.1875,49.625,1248000,20.037321
2000-03-30,51.0,53.625,50.9375,52.6875,1448800,21.273882
2000-03-31,52.4375,55.0625,52.25,54.3125,1217200,21.930015
2000-04-03,54.5625,55.75,54.125,55.25,718400,22.308554
2000-04-04,55.5,55.8125,53.25,54.75,1537200,22.106667
2000-04-05,55.5,55.5,53.375,53.6875,520600,21.677656
2000-04-06,53.875,54.4375,53.375,53.5625,364600,21.627184
2000-04-07,55.125,56.4375,53.875,56.1875,867200,22.687093
2000-04-10,57.4375,59.0,57.125,58.6875,1803200,23.69653
2000-04-11,58.4375,58.75,57.6875,58.625,1244200,23.671294
2000-04-12,59.0,59.5,57.75,57.8125,1085400,23.343227
2000-04-13,57.9375,57.9375,56.4375,56.9375,625800,22.989924
2000-04-14,56.1875,56.375,54.25,54.8125,659200,22.131903
2000-04-17,54.5625,54.5625,52.875,53.375,859000,21.551477
2000-04-18,53.375,56.0,52.25,53.9375,1152000,21.7786
2000-04-19,53.8125,54.375,53.375,53.9375,370200,21.7786
2000-04-20,53.3125,54.75,53.0,54.6875,697400,22.081431
2000-04-24,54.4375,55.0,54.1875,54.75,1013600,22.106667
2000-04-25,54.5,57.75,54.5,57.375,738800,23.166576
2000-04-26,57.375,57.75,55.875,57.0625,763600,23.040395999999998
2000-04-27,55.6875,56.8125,53.0625,56.4375,2119600,22.788037
2000-04-28,57.0,57.0,54.9375,55.625,755800,22.459970000000002
2000-05-01,55.625,56.25,55.3125,56.1875,658400,22.687093
2000-05-02,55.5,56.0,53.5625,54.3125,765600,21.930015
2000-05-03,54.125,54.5625,53.5,53.9375,1214400,21.7786
2000-05-04,53.75,54.25,53.5625,53.6875,920200,21.677656
2000-05-05,53.5625,54.125,52.6875,53.8125,1068800,21.728127999999998
2000-05-08,53.5625,54.9375,53.5,54.3125,825200,21.930015
2000-05-09,54.1875,55.5,53.4375,53.4375,1631400,21.576713
2000-05-10,53.0,53.6875,51.125,52.625,1768600,21.248646
2000-05-11,52.625,55.125,52.625,54.25,830400,21.90478
2000-05-12,54.0,54.5,53.0,53.375,635400,21.551477
2000-05-15,53.375,55.625,53.25,55.0,1120800,22.207611
2000-05-16,55.25,55.625,54.9375,55.5,860000,22.409498000000003
2000-05-17,54.875,55.9375,54.875,55.375,594600,22.359026
2000-05-18,55.25,56.375,55.125,55.875,528000,22.560914
2000-05-19,55.875,56.0,55.3125,55.3125,526000,22.33379
2000-05-22,55.5625,56.6875,55.3125,55.375,732200,22.359026
2000-05-23,56.375,58.25,56.0,56.5,2180400,22.813273000000002
2000-05-24,56.5625,58.0,56.375,57.875,1165200,23.368463000000002
2000-05-25,57.875,58.5,56.6875,57.6875,2692800,23.292755
2000-05-26,57.6875,58.1875,56.1875,56.4375,1584600,22.788037
2000-05-30,56.625,57.25,55.875,56.75,577600,22.914216
2000-05-31,56.5,57.25,56.0,56.0,958000,22.611385000000002
2000-06-01,56.0,56.375,55.3125,56.1875,2165800,22.687093
2000-06-02,57.5,57.8125,56.625,57.125,1506600,23.065632
2000-06-05,56.875,57.5625,56.875,57.125,1139600,23.065632
2000-06-06,56.875,56.9375,55.4375,56.0,1041200,22.611385000000002
2000-06-07,56.0,56.0,55.375,55.375,4430200,22.359026
2000-06-08,55.5,56.5,55.5,56.0625,4784200,22.636620999999998
2000-06-09,56.125,56.25,55.375,55.75,616200,22.510442
2000-06-12,55.625,56.125,55.25,55.3125,1128200,22.33379
2000-06-13,55.0625,55.5,53.5,53.6875,726000,21.677656
2000-06-14,53.9375,55.375,53.9375,54.8125,880200,22.131903
2000-06-15,54.8125,55.0,53.5,54.0,1215600,21.803835999999997
2000-06-16,53.5,54.625,53.5,53.843761,1301800,21.740751
2000-06-19,53.875,53.875,52.625,53.125,612400,21.450533
2000-06-20,52.875,53.125,51.875,52.125,633600,21.046757999999997
2000-06-21,52.0,52.375,51.125,52.3125,1418800,21.122466
2000-06-22,52.0,52.25,51.4375,51.5625,514000,20.819635
2000-06-23,51.5625,52.0,50.75,51.4375,533200,20.769163
2000-06-26,51.4375,51.5,50.625,51.1875,716600,20.668219
2000-06-27,51.4375,52.75,50.75,52.1875,1056200,21.071994
2000-06-28,52.0625,53.4375,50.625,53.046879000000004,997200,21.41899
2000-06-29,53.0,53.5,52.0,53.0625,424400,21.425297
2000-06-30,53.0,53.0625,52.359379,52.375,761000,21.147702
2000-07-03,52.625,53.9375,52.625,53.75,346400,21.702892000000002
2000-07-05,53.6875,54.75,53.625,54.125,684000,21.854308
2000-07-06,48.75,49.875,44.0,49.875,12296200,20.138265
2000-07-07,49.625,49.625,47.9375,48.8125,3596400,19.709254
2000-07-10,48.3125,48.75,47.5625,48.5,2318600,19.583075
2000-07-11,48.3125,49.125,47.625,49.0,2608000,19.784962
2000-07-12,49.625,49.625,47.9375,48.5,1875800,19.583075
2000-07-13,48.5,48.875,48.3125,48.8125,2187600,19.709254
2000-07-14,49.125,49.8125,48.75,49.375,1573800,19.936378
2000-07-17,49.375,49.6875,48.75,49.531239,1352600,19.999463000000002
2000-07-18,49.375,49.875,49.25,49.75,3671600,20.087792999999998
2000-07-19,49.75,50.75,49.4375,50.6875,808000,20.466332
2000-07-20,50.75,50.875,49.875,50.125,900200,20.239209
2000-07-21,50.1875,51.0,49.875,50.75,1325200,20.491568
2000-07-24,50.75,50.75,49.5,50.0,948600,20.188737
2000-07-25,50.0,50.6875,49.8125,50.1875,591800,20.264445000000002
2000-07-26,50.125,50.1875,48.375,48.6875,3155000,19.658783
2000-07-27,48.5,51.75,48.4375,51.0,1641400,20.592512
2000-07-28,51.125,51.875,50.625,50.6875,561800,20.466332
2000-07-31,50.6875,51.625,49.5,50.375,770400,20.340152
2000-08-01,50.125,51.4375,50.125,51.25,515600,20.693455
2000-08-02,51.0,51.6875,50.125,51.4375,378600,20.769163
2000-08-03,51.75,52.9375,51.4375,52.3125,716800,21.122466
2000-08-04,52.0625,52.0625,51.0,51.25,392000,20.693455
2000-08-07,51.25,52.8125,51.25,52.1875,377000,21.071994
2000-08-08,52.4375,52.875,51.9375,52.125,412000,21.046757999999997
2000-08-09,52.125,52.375,51.6875,52.125,398800,21.046757999999997
2000-08-10,52.1875,52.625,51.1875,51.4375,254800,20.769163
2000-08-11,51.5,53.125,51.4375,52.5,470200,21.198173999999998
2000-08-14,52.5625,53.25,52.5625,52.75,261400,21.299117000000003
2000-08-15,52.75,53.125,52.625,53.0,583000,21.400060999999997
2000-08-16,53.25,54.1875,53.125,53.5625,664000,21.627184
2000-08-17,53.625,54.5,53.625,53.8125,1023000,21.728127999999998
2000-08-18,53.625,53.875,51.9375,52.8125,482600,21.324353
2000-08-21,52.625,53.125,50.25,51.625,5786600,20.844870999999998
2000-08-22,51.75,53.875,51.5625,53.25,1015000,21.501005
2000-08-23,53.0,53.25,51.5,51.75,494000,20.895343
2000-08-24,51.75,52.25,51.3125,52.0,2407800,20.996285999999998
2000-08-25,52.75,52.75,51.75,52.125,925800,21.046757999999997
2000-08-28,52.0,52.375,51.5625,51.6875,659600,20.870107
2000-08-29,51.4375,52.125,51.1875,51.4375,370600,20.769163
2000-08-30,51.1875,51.4375,50.25,50.4375,597400,20.365388
2000-08-31,50.375,51.5625,50.1875,51.328121,490800,20.724999
2000-09-01,51.25,51.25,50.0,50.4375,585600,20.365388
2000-09-05,50.5,50.5,49.8125,49.875,738400,20.138265
2000-09-06,49.875,51.3125,49.875,51.0,3217400,20.592512
2000-09-07,50.625,50.625,48.125,49.375,3653200,19.936378
2000-09-08,49.375,49.375,48.6875,48.6875,1716000,19.658783
2000-09-11,48.75,50.0,48.375,48.75,1134400,19.684018
2000-09-12,48.625,48.625,47.0,47.5,1681800,19.1793
2000-09-13,46.75,48.0,46.625,47.5,1386000,19.1793
2000-09-14,47.5,47.875,47.0,47.25,1316200,19.078356
2000-09-15,46.75,47.25,46.3125,46.3125,1286600,18.699818
2000-09-18,45.25,46.0625,45.25,45.625,1767000,18.422222
2000-09-19,45.5,45.9375,45.0,45.0625,1143400,18.195099
2000-09-20,45.125,45.125,43.875,44.125,3312600,17.81656
2000-09-21,43.8125,44.75,43.8125,44.4375,1531800,17.94274
